drug	gene	zvalue	pvalue
ponatinib	CST7	5.158631602	2.4899999999999997e-07
ponatinib	FLOT1	5.378591772999999	7.51e-08
ponatinib	ART3	4.886970943	1.02e-06
ponatinib	SEC14L5	5.604513315	2.09e-08
ponatinib	MR1	5.1315606030000005	2.87e-07
ponatinib	PDE6B	4.6619613289999995	3.13e-06
ponatinib	GZMH	5.053621247	4.34e-07
ponatinib	MYT1	5.95912513	2.54e-09
ponatinib	ACSM3	4.879326121	1.06e-06
ponatinib	SCN1A	4.829818813999999	1.37e-06
ponatinib	MLLT4-AS1	4.686340116	2.78e-06
ponatinib	FLRT1	5.824743345	5.720000000000001e-09
ponatinib	SCN3A	6.232461256000001	4.59e-10
ponatinib	NPY6R	6.058430635	1.3699999999999998e-09
ponatinib	MAPK8	4.883956643	1.04e-06
ponatinib	VEGFA	5.541728061000001	3e-08
ponatinib	FLT3LG	4.65230948	3.28e-06
ponatinib	SGCA	5.537002131	3.08e-08
ponatinib	NRTN	5.095162714	3.48e-07
ponatinib	RGN	4.935174073	8.009999999999999e-07
ponatinib	FPR2	4.979740422	6.37e-07
ponatinib	CD86	4.625901129	3.73e-06
ponatinib	GSTM4	6.024118421	1.7000000000000001e-09
ponatinib	CDH20	5.375333392999999	7.64e-08
ponatinib	BLK	4.786276244	1.7e-06
ponatinib	PFKM	5.383747081	7.299999999999999e-08
ponatinib	TRIM23	4.736755375	2.17e-06
ponatinib	NEK1	4.764196872	1.9e-06
ponatinib	EFCAB2	5.0059502160000005	5.560000000000001e-07
ponatinib	CXCR6	5.236795428	1.6300000000000002e-07
ponatinib	SLCO1A2	4.7502052269999995	2.03e-06
ponatinib	DSCAM	5.414996836	6.13e-08
ponatinib	ITGB8	5.052049031	4.37e-07
ponatinib	APAF1	4.840033771	1.3e-06
ponatinib	RAPSN	4.906521248	9.27e-07
ponatinib	CACNA1C	4.636556285	3.54e-06
ponatinib	GPR135	4.983188625	6.25e-07
ponatinib	TRO	4.951883616	7.35e-07
ponatinib	ZKSCAN3	5.247727588	1.54e-07
ponatinib	TNIK	5.771471585	7.859999999999999e-09
ponatinib	CD28	5.730252188	1e-08
ponatinib	HLA-DPA1	6.198950728	5.68e-10
ponatinib	WIPF2	4.713060285	2.44e-06
ponatinib	CLASP2	5.853315295	4.82e-09
ponatinib	CLIP3	5.097046306	3.45e-07
ponatinib	PDE4DIP	4.876694226000001	1.08e-06
ponatinib	TNS2	5.130866152	2.88e-07
ponatinib	SPRY1	4.747241508	2.06e-06
ponatinib	NF1	5.02589882	5.01e-07
ponatinib	TLN2	5.042185063	4.6e-07
ponatinib	UBR2	5.315112253	1.0699999999999999e-07
ponatinib	PRUNE2	6.067436056	1.3e-09
ponatinib	ASB1	5.637954102	1.72e-08
ponatinib	DMXL2	4.680045925	2.87e-06
ponatinib	GRAMD4	4.9311312869999995	8.179999999999999e-07
ponatinib	CDS2	5.792680467	6.93e-09
ponatinib	MED20	6.243373257000001	4.2799999999999997e-10
ponatinib	CBX7	4.953832673	7.28e-07
ponatinib	LINC01278	8.038930837999999	9.060000000000001e-16
ponatinib	URB1	5.41822013	6.02e-08
ponatinib	GATAD1	5.334303123	9.59e-08
ponatinib	DPT	5.109666617	3.2299999999999997e-07
ponatinib	ZBTB22	4.965390148	6.86e-07
ponatinib	ATP8A1	4.75025494	2.03e-06
ponatinib	DOCK2	6.10176371	1.0499999999999999e-09
ponatinib	MOCS1	4.8875833339999994	1.02e-06
ponatinib	ASTN1	5.805159699	6.43e-09
ponatinib	TNNT1	4.809846249	1.51e-06
ponatinib	CUL9	5.760443736	8.390000000000001e-09
ponatinib	GLTSCR1L	6.837345595	8.07e-12
ponatinib	ADCY1	5.090084999	3.5799999999999995e-07
ponatinib	ZNF248	4.63453947	3.58e-06
ponatinib	TMEM159	4.922249611	8.559999999999999e-07
ponatinib	SALL2	5.3953276	6.84e-08
ponatinib	OARD1	4.809489405	1.51e-06
ponatinib	SNX1	5.006397747	5.55e-07
ponatinib	LDB3	5.224410695	1.75e-07
ponatinib	ZNF787	4.731524232	2.23e-06
ponatinib	ADAM22	6.610520514	3.83e-11
ponatinib	ZNF862	4.648357547	3.35e-06
ponatinib	IPW	4.6654264969999995	3.08e-06
ponatinib	ABCC10	5.309679597	1.1e-07
ponatinib	DKFZP586I1420	5.366965489	8.01e-08
ponatinib	CAND2	5.398073502999999	6.740000000000001e-08
ponatinib	KIF3A	4.834535607	1.33e-06
ponatinib	TMEM151B	4.718165329	2.38e-06
ponatinib	PDLIM5	5.198365103	2.01e-07
ponatinib	BHLHB9	6.000500312000001	1.9699999999999996e-09
ponatinib	ATRNL1	5.096842044	3.45e-07
ponatinib	HIPK2	4.673467175	2.96e-06
ponatinib	MYOZ2	4.653693091	3.26e-06
ponatinib	OLIG2	5.613511911	1.98e-08
ponatinib	LGR5	5.23240774	1.67e-07
ponatinib	THSD7A	5.0380204619999995	4.7e-07
ponatinib	IGFBP7	4.677472561	2.9e-06
ponatinib	NKG7	6.525164489	6.79e-11
ponatinib	RALYL	5.759855877000001	8.42e-09
ponatinib	MTSS1L	4.60469744	4.13e-06
ponatinib	SOCS7	4.762613991	1.91e-06
ponatinib	PTPRD	6.709513948	1.95e-11
ponatinib	ERBB4	5.84908003	4.94e-09
ponatinib	NUDT13	5.269945626	1.36e-07
ponatinib	GRM5	4.655300494	3.24e-06
ponatinib	ITGA8	4.719258404	2.37e-06
ponatinib	NPRL3	4.635732201000001	3.56e-06
ponatinib	KLF12	4.929093156	8.259999999999999e-07
ponatinib	NOV	5.2445409210000005	1.57e-07
ponatinib	UNC93A	5.3067000460000004	1.12e-07
ponatinib	FBXL2	4.825599843	1.4e-06
ponatinib	HOXA2	6.19816941	5.71e-10
ponatinib	LSAMP	4.634572595	3.58e-06
ponatinib	GJA5	4.77021297	1.84e-06
ponatinib	GPR65	5.831511733999999	5.489999999999999e-09
ponatinib	KLRB1	4.835982278	1.32e-06
ponatinib	PRKAB2	5.723671181	1.04e-08
ponatinib	ETV3	5.17641213	2.26e-07
ponatinib	ZBTB25	4.689682193	2.74e-06
ponatinib	GPR20	5.079295086	3.79e-07
ponatinib	RLN2	5.452360119	4.9699999999999995e-08
ponatinib	HES2	4.878739042	1.07e-06
ponatinib	CMA1	5.777132177	7.6e-09
ponatinib	RABEP1	4.744426793	2.09e-06
ponatinib	PCDHGC3	5.380901217999999	7.41e-08
ponatinib	COL8A1	4.91781342	8.75e-07
ponatinib	KLHL4	4.604726816	4.13e-06
ponatinib	COL4A4	4.705898349	2.53e-06
ponatinib	TSPAN2	5.263575435	1.41e-07
ponatinib	EYA1	4.985918261	6.17e-07
ponatinib	P2RY10	4.748676243999999	2.05e-06
ponatinib	PAM	4.581014693999999	4.63e-06
ponatinib	FBXW4P1	4.676754723	2.91e-06
ponatinib	ZBTB33	4.844954311	1.27e-06
ponatinib	ITGA1	4.756184752	1.97e-06
ponatinib	PKI55	5.344418342	9.07e-08
ponatinib	ZNF467	5.235859425	1.6399999999999999e-07
ponatinib	DCAF4	5.730085066	1e-08
ponatinib	ZNF337	5.323386017	1.0199999999999999e-07
ponatinib	CLCN4	4.870384636	1.11e-06
ponatinib	MEGF8	4.754942477	1.99e-06
ponatinib	ZNF204P	4.830522107	1.36e-06
ponatinib	PWAR5	5.719097192	1.07e-08
ponatinib	LINC00599	5.595297172	2.2000000000000002e-08
ponatinib	LRP5L	5.118819907	3.07e-07
ponatinib	FAM149A	5.516399226	3.46e-08
ponatinib	N4BP2L1	4.736902436	2.17e-06
ponatinib	ZNF484	5.843338245	5.1200000000000005e-09
ponatinib	SUSD5	4.842058827	1.29e-06
ponatinib	PPFIA4	5.786734500000001	7.18e-09
ponatinib	NECAB2	4.884549767	1.04e-06
ponatinib	ZNF33B	4.906525744	9.27e-07
ponatinib	KANSL1L	5.0627630539999995	4.1299999999999995e-07
ponatinib	LINC00894	5.991220942999999	2.0800000000000003e-09
ponatinib	DPY19L1P1	5.4642220770000005	4.6500000000000006e-08
ponatinib	NRIP2	4.722362	2.33e-06
ponatinib	ZNF550	5.008413367	5.49e-07
ponatinib	DPY19L2P2	4.827676723	1.38e-06
ponatinib	PMS2P4	5.215348645	1.83e-07
ponatinib	IGSF9B	4.797217296	1.61e-06
ponatinib	SLC8A2	5.165628477	2.4e-07
ponatinib	LINC00667	6.075028579	1.24e-09
ponatinib	LUZP2	4.900855494	9.54e-07
ponatinib	ZNF37BP	6.481684379	9.07e-11
ponatinib	NEB	5.902569924	3.58e-09
ponatinib	PYGO1	4.909585287	9.13e-07
ponatinib	SORCS3	5.75805371	8.51e-09
ponatinib	ZNF391	6.086247762	1.16e-09
ponatinib	LARGE	4.988425193	6.09e-07
ponatinib	ACVR2B-AS1	5.695539452999999	1.23e-08
ponatinib	FGD2	4.722102355	2.33e-06
ponatinib	AJAP1	5.647318908	1.63e-08
ponatinib	LILRA5	4.843048536	1.28e-06
ponatinib	SSX7	5.189354064	2.1100000000000002e-07
ponatinib	PTGDR	4.973297487	6.58e-07
ponatinib	DXO	4.992884763999999	5.95e-07
ponatinib	ZNRD1-AS1	6.917715715	4.59e-12
ponatinib	PVT1	5.205259863999999	1.94e-07
ponatinib	ZNF460	5.72109803	1.06e-08
ponatinib	POU6F1	4.721703338999999	2.34e-06
ponatinib	ZNF10	5.731355467999999	9.96e-09
ponatinib	PCDHGA3	5.171052744	2.33e-07
ponatinib	GALK2	4.987743868	6.110000000000001e-07
ponatinib	CFAP74	5.030362707	4.9e-07
ponatinib	SNRPN	4.9247489689999995	8.45e-07
ponatinib	TEX41	4.8906591530000005	1e-06
ponatinib	GABRG3	4.819186998999999	1.44e-06
ponatinib	RUNX2	5.078689605	3.8e-07
ponatinib	ZNF154	6.035618307000001	1.58e-09
ponatinib	ZHX3	5.054378526	4.32e-07
ponatinib	MS4A1	4.90792108	9.2e-07
ponatinib	B3GALT2	4.862863895	1.16e-06
ponatinib	HLA-DMA	5.6084097029999995	2.04e-08
ponatinib	STK17B	6.227710782000001	4.73e-10
ponatinib	KAZALD1	4.705148006	2.54e-06
ponatinib	MILR1	4.949955345	7.420000000000001e-07
ponatinib	CDH8	4.874549923	1.09e-06
ponatinib	ZSWIM1	4.755550611	1.98e-06
ponatinib	USP27X	4.9327928530000005	8.109999999999999e-07
ponatinib	ERICH1	4.627853095	3.69e-06
ponatinib	ZNF234	5.043566333	4.5700000000000003e-07
ponatinib	PLEKHA2	4.905048149	9.340000000000001e-07
ponatinib	C3	4.879528872	1.06e-06
ponatinib	CNPY3	5.121848474	3.03e-07
ponatinib	MEA1	5.653859361	1.57e-08
ponatinib	MAGEF1	5.793527576000001	6.890000000000001e-09
ponatinib	C1QA	4.644936878999999	3.4e-06
ponatinib	ZSCAN18	5.4917966179999995	3.98e-08
ponatinib	PHC1	4.739227313	2.15e-06
ponatinib	TMEM176A	5.302426613	1.14e-07
ponatinib	NRSN2	5.10957584	3.2299999999999997e-07
ponatinib	GTF2IRD1	5.904100219	3.55e-09
ponatinib	ALG12	4.8682435019999994	1.13e-06
ponatinib	MAGEH1	4.924687673	8.45e-07
ponatinib	DHX35	4.753256943	2e-06
ponatinib	ZXDC	6.0228813610000005	1.71e-09
ponatinib	DYSF	5.10068648	3.38e-07
ponatinib	ARMCX1	5.0113788	5.4e-07
ponatinib	TAPBPL	5.620141166	1.91e-08
ponatinib	TMLHE	5.387759808999999	7.13e-08
ponatinib	TMEM206	5.003262083	5.64e-07
ponatinib	UBE2D4	5.4762695379999995	4.34e-08
ponatinib	WDR33	6.218086388	5.03e-10
ponatinib	DEPTOR	5.423197387999999	5.8499999999999994e-08
ponatinib	ATAT1	6.37967372	1.77e-10
ponatinib	STAG3L4	5.972251941000001	2.3399999999999998e-09
ponatinib	THNSL2	5.291716062	1.2099999999999998e-07
ponatinib	C3orf18	5.380841977	7.41e-08
ponatinib	LMF1	5.805022194	6.44e-09
ponatinib	CROCCP3	5.6251590910000004	1.85e-08
ponatinib	SIRT5	6.79229946	1.1e-11
ponatinib	AGO4	5.145650413	2.67e-07
ponatinib	PPARGC1A	4.61064195	4.01e-06
ponatinib	AFF4	4.88765526	1.02e-06
ponatinib	SCRN3	4.580969031	4.63e-06
ponatinib	IL17RB	5.151231008	2.59e-07
ponatinib	ZNF350	4.883967877	1.04e-06
ponatinib	GALNT14	4.8282391019999995	1.38e-06
ponatinib	TRPV2	4.661846115	3.13e-06
ponatinib	NIN	5.7060562070000005	1.16e-08
ponatinib	C22orf46	5.017827032	5.23e-07
ponatinib	SYNDIG1	5.629113997	1.81e-08
ponatinib	NABP1	4.758389932	1.95e-06
ponatinib	CLN8	4.717935582	2.38e-06
ponatinib	C5orf42	5.108449505	3.25e-07
ponatinib	NEIL1	4.570443073	4.87e-06
ponatinib	CLSTN2	5.251799355	1.51e-07
ponatinib	TASP1	4.838257953	1.31e-06
ponatinib	CA14	5.1954438110000005	2.0399999999999997e-07
ponatinib	SETD4	5.442654308	5.25e-08
ponatinib	ZNF180	4.616181847	3.91e-06
ponatinib	KCNJ16	4.845355172	1.26e-06
ponatinib	PIEZO2	6.741779887000001	1.56e-11
ponatinib	ZNF606	5.436604492000001	5.4299999999999997e-08
ponatinib	PEX5L	5.669125977	1.44e-08
ponatinib	CASQ1	5.672015322999999	1.4099999999999999e-08
ponatinib	POPDC2	5.18541935	2.16e-07
ponatinib	ATP8A2	4.900638012	9.55e-07
ponatinib	BEND5	4.739553098	2.14e-06
ponatinib	METTL4	4.893987984	9.88e-07
ponatinib	TMOD2	5.884276106000001	4e-09
ponatinib	DCAF16	5.009239182	5.46e-07
ponatinib	MYOT	5.437386367	5.41e-08
ponatinib	DPF3	4.96574339	6.84e-07
ponatinib	ZNF329	5.808954596	6.29e-09
ponatinib	SMPX	4.867340761	1.13e-06
ponatinib	THNSL1	6.378224082999999	1.79e-10
ponatinib	ZNF34	5.304748804	1.13e-07
ponatinib	LATS1	5.530462025	3.19e-08
ponatinib	ITGB1BP2	5.09448171	3.5e-07
ponatinib	CCDC186	5.018837065	5.2e-07
ponatinib	ZNF671	4.888630405	1.02e-06
ponatinib	ZNF14	5.042243839	4.6e-07
ponatinib	LY6G5C	4.702126998	2.57e-06
ponatinib	RCAN3	5.217204632	1.82e-07
ponatinib	SLC12A8	5.510292307	3.58e-08
ponatinib	PGPEP1	4.787833437	1.69e-06
ponatinib	TM6SF1	4.902550103	9.459999999999999e-07
ponatinib	MAGEL2	5.480837843	4.23e-08
ponatinib	GPR85	5.3585633	8.39e-08
ponatinib	ERMAP	4.881171698999999	1.05e-06
ponatinib	EBLN2	4.99056119	6.02e-07
ponatinib	FRS3	5.802646125	6.53e-09
ponatinib	TRIM45	5.915036819	3.32e-09
ponatinib	MYH14	4.690508116	2.73e-06
ponatinib	CLEC4A	4.705791015	2.53e-06
ponatinib	LRRC2	4.685790696000001	2.79e-06
ponatinib	DZANK1	4.602856217	4.17e-06
ponatinib	DUSP13	6.311742709	2.76e-10
ponatinib	OLAH	4.924692375	8.45e-07
ponatinib	HS3ST3A1	4.812310441	1.49e-06
ponatinib	P2RY13	5.298041448999999	1.1699999999999999e-07
ponatinib	ZNF334	5.541702596	3e-08
ponatinib	TBR1	4.82941745	1.37e-06
ponatinib	TNMD	4.761589839	1.92e-06
ponatinib	SPTBN5	5.4937059989999995	3.94e-08
ponatinib	CNTLN	5.760683607000001	8.38e-09
ponatinib	ZNF385D	4.926920031	8.35e-07
ponatinib	EPB41L4A	5.32104898	1.0300000000000001e-07
ponatinib	TLR7	4.860409614	1.17e-06
ponatinib	ABCA11P	4.759445275	1.94e-06
ponatinib	FBXO40	6.356959937999999	2.06e-10
ponatinib	FHL5	5.328843996	9.880000000000001e-08
ponatinib	CHRNA10	5.112299116	3.18e-07
ponatinib	ZNF669	4.682987672	2.83e-06
ponatinib	AP4E1	4.616415997	3.9e-06
ponatinib	ZBTB44	4.6290010210000005	3.67e-06
ponatinib	CASC5	4.979585528	6.37e-07
ponatinib	RERGL	5.571077732999999	2.5299999999999998e-08
ponatinib	TTC22	4.827675941	1.38e-06
ponatinib	PARP11	5.309284336	1.1e-07
ponatinib	NPAS3	5.6329521929999995	1.77e-08
ponatinib	CCDC121	4.60552251	4.11e-06
ponatinib	LINC00472	5.3489227999999995	8.849999999999999e-08
ponatinib	LRRTM4	4.822439009	1.42e-06
ponatinib	ZNF235	4.626377697	3.72e-06
ponatinib	DNAJC28	5.0521115960000005	4.37e-07
ponatinib	JPH2	4.762639632	1.91e-06
ponatinib	ZBTB3	5.233258671000001	1.67e-07
ponatinib	LINC00115	4.997255324	5.82e-07
ponatinib	TNNI3K	5.449435852000001	5.0499999999999996e-08
ponatinib	NDST3	4.613844441	3.95e-06
ponatinib	FAM110D	4.658700803	3.18e-06
ponatinib	LINC01260	4.733496451000001	2.21e-06
ponatinib	ABI3BP	5.047962704	4.47e-07
ponatinib	CRB1	5.58668672	2.3100000000000002e-08
ponatinib	TMEM176B	4.900503328	9.56e-07
ponatinib	CFAP46	4.655064945	3.24e-06
ponatinib	KCNK15	5.3668724580000005	8.01e-08
ponatinib	IKZF2	4.722045419	2.33e-06
ponatinib	SEMA6D	5.549459932	2.8700000000000002e-08
ponatinib	PRR36	4.625397959	3.74e-06
ponatinib	PDZRN4	4.846234495	1.26e-06
ponatinib	ZNF532	5.18655025	2.1399999999999998e-07
ponatinib	KLRF1	5.177244624	2.25e-07
ponatinib	ADARB2	5.268132059	1.3800000000000002e-07
ponatinib	IL1RAPL1	6.536283251	6.310000000000001e-11
ponatinib	USP49	4.7507675339999995	2.03e-06
ponatinib	TBX21	4.88800925	1.02e-06
ponatinib	SENP7	4.901448242	9.51e-07
ponatinib	FAXDC2	5.411805658	6.24e-08
ponatinib	SLC52A1	4.772481707	1.82e-06
ponatinib	PPP4R2	5.211242552	1.8800000000000002e-07
ponatinib	MMP27	4.921223988	8.6e-07
ponatinib	PRDM5	4.618256693	3.87e-06
ponatinib	GNG13	4.736354523	2.18e-06
ponatinib	TRPC4	4.919674158	8.67e-07
ponatinib	ADAMTS6	4.860153304	1.17e-06
ponatinib	SLC24A2	4.773435622	1.81e-06
ponatinib	CASS4	5.176119105	2.2699999999999998e-07
ponatinib	CA10	5.295671862	1.1900000000000001e-07
ponatinib	EPB41L5	5.223801234	1.75e-07
ponatinib	GPR63	5.734433543	9.78e-09
ponatinib	CDADC1	4.949712348	7.43e-07
ponatinib	APOLD1	4.649014301	3.34e-06
ponatinib	TDRKH	6.065520167000001	1.32e-09
ponatinib	DENND1C	4.68622727	2.78e-06
ponatinib	IKZF3	5.61738143	1.94e-08
ponatinib	KCNMB2	4.590647311000001	4.42e-06
ponatinib	NIPSNAP3B	5.761227846000001	8.35e-09
ponatinib	KCNMB3	4.7490004610000005	2.04e-06
ponatinib	RPA4	5.648645967999999	1.62e-08
ponatinib	MAP3K7CL	4.77237119	1.82e-06
ponatinib	ANKRD2	5.34964984	8.81e-08
ponatinib	SLC2A11	5.138587858999999	2.77e-07
ponatinib	C1orf21	5.013405943	5.35e-07
ponatinib	GPR22	5.666854552	1.4499999999999999e-08
ponatinib	PCDHB6	5.219745861	1.7899999999999997e-07
ponatinib	KCNAB3	5.031309511	4.870000000000001e-07
ponatinib	RNF146	4.8885016	1.02e-06
ponatinib	OR12D3	4.878426922	1.07e-06
ponatinib	TAS2R16	4.646614495	3.37e-06
ponatinib	ADAM30	4.727965412	2.27e-06
ponatinib	CUTA	4.695103658	2.66e-06
ponatinib	NUDT3	5.028443222	4.94e-07
ponatinib	KCNMA1	5.780829553999999	7.43e-09
ponatinib	WNT6	5.020486395	5.15e-07
ponatinib	SNHG20	5.0161161419999996	5.27e-07
ponatinib	BCAN	6.091654085	1.1199999999999999e-09
ponatinib	ZNF506	4.898206989	9.67e-07
ponatinib	ZNF83	4.582685023	4.59e-06
ponatinib	IL21R	4.672676171	2.97e-06
ponatinib	STYK1	4.845271594	1.26e-06
ponatinib	VPS53	6.17549237	6.6e-10
ponatinib	FAM63A	5.629770361	1.8e-08
ponatinib	SYT13	4.900326841	9.570000000000001e-07
ponatinib	ORAI3	5.991585923	2.0800000000000003e-09
ponatinib	TRIM52	4.624724215	3.75e-06
ponatinib	CCDC28B	5.273461596000001	1.34e-07
ponatinib	FAM110B	4.976815317	6.459999999999999e-07
ponatinib	KLHL24	5.393068722000001	6.929999999999999e-08
ponatinib	SMIM7	5.566853257000001	2.5899999999999997e-08
ponatinib	GNG3	4.671390293	2.99e-06
ponatinib	SLCO4C1	5.849440952	4.93e-09
ponatinib	GSTA3	4.597668237	4.27e-06
ponatinib	TBC1D16	5.269464085	1.37e-07
ponatinib	SIRT4	4.9981606339999995	5.79e-07
ponatinib	EGOT	5.11831402	3.08e-07
ponatinib	SLC44A1	4.573621421	4.79e-06
ponatinib	LRP6	4.835985423	1.32e-06
ponatinib	THRA	6.016747398	1.7800000000000003e-09
ponatinib	STK19	4.571779767	4.84e-06
ponatinib	BBS9	5.894090212999999	3.77e-09
ponatinib	ZNF142	5.387764438	7.13e-08
ponatinib	ASIC1	4.800830228	1.58e-06
ponatinib	DMPK	4.654139716	3.25e-06
ponatinib	TJAP1	4.756978493	1.97e-06
ponatinib	RASSF4	6.178072956	6.49e-10
ponatinib	ZNF764	5.509248789	3.6e-08
ponatinib	DVL2	5.4491091570000005	5.0599999999999996e-08
ponatinib	PKNOX2	5.326389691	1e-07
ponatinib	TMEM80	4.599374654	4.24e-06
BRD-K57901680	ADCK3	5.91411119	3.3399999999999996e-09
BRD-K57901680	STK10	4.5418228339999995	5.58e-06
dantrolene	ADO	4.277156672	1.89e-05
dantrolene	PPIC	4.403839716	1.06e-05
BRD-K37562700	ADO	4.985873576	6.17e-07
SA-1922261	ABHD6	4.477510089	7.55e-06
BRD-K92125320	TRAPPC6A	4.091981214	4.28e-05
BRD-K72267874	ADAM10	4.910780409	9.070000000000001e-07
BRD-K88307956	PIK3CA	4.768754065	1.85e-06
BRD-K88307956	RB1	4.094173356000001	4.24e-05
BRD-K88307956	BMP4	4.123228044	3.74e-05
BRD-K88307956	RBM6	4.621781261000001	3.8e-06
BRD-K15467014	MAMLD1	4.400999237	1.0800000000000002e-05
BRD-K71746704	IKZF1	4.335223796	1.4599999999999999e-05
BRD-K71746704	IDE	4.389744867	1.13e-05
BRD-K22642889	YTHDF1	4.116191548	3.85e-05
BRD-K22642889	WDR61	4.068382703999999	4.73e-05
BRD-K22642889	MICALL1	5.685642231	1.3e-08
BRD-K22642889	SLC25A46	4.3972822560000004	1.1e-05
BRD-K80110842	NUP62	4.329440632	1.49e-05
BRD-K20824632	NFKBIB	4.757722085	1.96e-06
BRD-K78223772	NR3C1	4.608769426	4.05e-06
BRD-K48654093	TMEM5	4.36359287	1.28e-05
candesartan-cilextil	BTK	4.89184503	9.99e-07
candesartan-cilextil	ADO	4.24441155	2.1899999999999997e-05
candesartan-cilextil	IKBKE	4.792559432	1.65e-06
BRD-K03257659	ADCK3	4.582323576	4.6e-06
BRD-K03257659	TIAM1	5.429818527999999	5.6399999999999995e-08
BRD-K20531360	SHC1	4.06914751	4.72e-05
BRD-K20531360	EPHB2	6.619934903	3.59e-11
BRD-K20531360	GPATCH8	4.96922816	6.72e-07
BRD-K20531360	CLPX	5.154001179	2.55e-07
BRD-K20531360	UBR7	4.944208556	7.65e-07
BRD-K10064333	PFKL	4.903856631	9.4e-07
BRD-K10064333	AGL	5.617504434	1.94e-08
BRD-K10064333	DENND2D	5.163127353	2.43e-07
BRD-K42471691	PRUNE	4.791482006	1.66e-06
BRD-K42471691	DHDDS	4.703391562	2.56e-06
BRD-K04682465	ABCC5	4.227410648999999	2.36e-05
BRD-K54254994	SLC25A14	5.15278007	2.57e-07
BRD-K54254994	CEBPZ	4.53602726	5.73e-06
BRD-K66177994	CCP110	4.974674632	6.54e-07
YL-62	HOOK2	4.3306309999999995	1.49e-05
BRD-K73481389	RRP8	5.32395648	1.0199999999999999e-07
BRD-K73481389	TATDN2	5.775986883	7.65e-09
BRD-K73481389	IKBKE	4.145575566000001	3.39e-05
BRD-K74625930	ABCC5	4.377945031	1.2e-05
BRD-K29506255	NRAS	4.053088776	5.05e-05
BRD-K29506255	FBXO11	5.036459111	4.74e-07
BRD-K29506255	AKAP8L	4.2122109430000005	2.5300000000000002e-05
BRD-K29506255	SESN1	5.652398991	1.58e-08
BRD-K29506255	GPM6B	4.800927959	1.58e-06
BRD-K29506255	ABT1	4.69505407	2.67e-06
BRD-K29506255	CD93	5.012731928	5.37e-07
BRD-K29506255	GNA13	4.747776705	2.06e-06
BRD-K29506255	PRKAB2	4.778487662	1.77e-06
BRD-K29506255	DIDO1	4.957809888	7.13e-07
BRD-K57170492	MAPKAPK2	4.17800251	2.94e-05
BRD-K48089931	DDX42	4.152482867	3.289999999999999e-05
BRD-K48089931	KIF5C	4.925216733	8.43e-07
BRD-K48089931	MTF2	4.98949515	6.05e-07
BRD-K48089931	CXCR4	4.852487001	1.22e-06
BRD-K14471942	SOX2	4.991166296	6e-07
BRD-K14471942	GLI2	4.968027649	6.76e-07
BRD-K14471942	NISCH	4.501440153	6.75e-06
BRD-K14471942	MAP3K4	4.500300003	6.79e-06
BRD-K14471942	C2CD2	4.501752785	6.74e-06
BRD-K30837577	C2CD2	4.399351503	1.09e-05
BRD-K19914944	EZH2	4.1790372289999995	2.9299999999999997e-05
BRD-K19914944	KIAA0100	4.078251636	4.54e-05
BRD-K19914944	GAA	4.949289362	7.45e-07
BRD-K38385119	CAB39	4.347629696	1.3800000000000002e-05
BRD-K69510809	FKBP14	4.07056619	4.6899999999999995e-05
cladribine	GHR	4.24193165	2.22e-05
cladribine	CYB561	4.153144139	3.28e-05
