drug	gene	zvalue	pvalue
belinostat	ENOX2	-7.519806301	5.49e-14
SA-1457472	INF2	-5.439148413	5.3499999999999996e-08
SA-1457472	DECR2	-4.679455904	2.88e-06
BRD-K88196769	MLEC	-4.530513725	5.88e-06
BRD-K88196769	STUB1	-4.678287794	2.89e-06
BRD-K12411600	DNAJA3	-4.739161017	2.15e-06
BRD-K12411600	RAP1GAP	-4.690010005	2.73e-06
BRD-M97925630	RPS6	-4.169128744	3.06e-05
BRD-M97925630	MLEC	-4.650188321	3.32e-06
BRD-K90446130	PSIP1	-4.242271447	2.2100000000000002e-05
BRD-K73680494	TES	-4.594350363999999	4.34e-06
BRD-K73680494	TUBA1A	-4.935529482	7.990000000000001e-07
BRD-K37014875	HMG20B	-4.180359446000001	2.9100000000000003e-05
BRD-K55341911	HACD3	-4.343864942	1.4000000000000001e-05
BRD-K88622704	RNPS1	-4.221707017	2.42e-05
BRD-K88622704	GOLT1B	-5.863949739	4.52e-09
RLM-2-12	GNB5	-4.228627441	2.35e-05
RLM-2-12	CPNE3	-4.374569394	1.22e-05
RLM-2-12	NCOA3	-4.618200961	3.87e-06
RLM-2-12	VPS28	-4.708004537	2.5e-06
RLM-2-12	FOXO3	-4.71731978	2.39e-06
RLM-2-12	PSME2	-4.806187115	1.54e-06
RLM-2-12	HSPA8	-4.781618676	1.74e-06
RLM-2-12	CDC25B	-6.352050525	2.12e-10
RLM-2-12	NUP62	-4.79132348	1.66e-06
RLM-2-12	NCAPD2	-4.996770425	5.83e-07
RLM-2-12	ELAC2	-5.798708111	6.679999999999999e-09
RLM-2-12	MPC2	-5.354069631000001	8.6e-08
RLM-2-12	RNMT	-4.78550165	1.71e-06
RLM-2-12	JMJD6	-5.505862617999999	3.67e-08
RLM-2-12	IARS2	-5.710060022	1.1299999999999999e-08
RLM-2-12	SNX2	-4.84587567	1.26e-06
RLM-2-12	EIF3D	-4.59163037	4.4e-06
RLM-2-12	RTCB	-4.619766983	3.84e-06
RLM-2-12	SNX3	-4.583349841	4.58e-06
RLM-2-12	DCTN2	-5.379744766	7.46e-08
RLM-2-12	ANXA4	-5.022186817	5.110000000000001e-07
RLM-2-12	COPB1	-4.887547523	1.02e-06
RLM-2-12	TMEM106C	-5.193969232	2.0600000000000002e-07
RLM-2-12	PRKAB1	-5.031774951	4.86e-07
RLM-2-12	CYB5R3	-6.20181439	5.58e-10
RLM-2-12	RRM2	-4.616205375	3.91e-06
RLM-2-12	PRDX4	-4.781344867	1.74e-06
RLM-2-12	COPS3	-5.176287766000001	2.26e-07
RLM-2-12	G6PD	-4.825147267	1.4e-06
RLM-2-12	PSMD12	-5.219691906	1.7899999999999997e-07
RLM-2-12	GUSB	-5.390008872999999	7.05e-08
RLM-2-12	LSM4	-4.703970276000001	2.55e-06
RLM-2-12	AHR	-5.4032340539999995	6.54e-08
RLM-2-12	PDCD6	-5.284183839	1.26e-07
RLM-2-12	EIF2AK2	-4.816163866	1.46e-06
RLM-2-12	MED7	-5.023497358	5.070000000000001e-07
RLM-2-12	GALC	-4.595801956	4.31e-06
RLM-2-12	SLC7A7	-4.778062331	1.77e-06
RLM-2-12	POP5	-5.285026424	1.26e-07
RLM-2-12	RAB1A	-5.2431211719999995	1.58e-07
RLM-2-12	RNPEP	-4.602058818	4.18e-06
RLM-2-12	NECAP1	-4.764692882	1.89e-06
RLM-2-12	PSMC5	-4.937448364	7.92e-07
RLM-2-12	ABCG2	-5.08860805	3.61e-07
RLM-2-12	SLC4A7	-4.757492995	1.96e-06
RLM-2-12	KPNA2	-4.787556197	1.69e-06
RLM-2-12	UBR4	-4.647384076	3.36e-06
RLM-2-12	EXOC7	-5.661967852999999	1.5e-08
RLM-2-12	CDK11A	-4.758445828	1.95e-06
RLM-2-12	MICU2	-4.64175601	3.45e-06
RLM-2-12	DDX3X	-4.7663407289999995	1.88e-06
RLM-2-12	DMXL2	-4.853887611	1.21e-06
RLM-2-12	NPTX2	-5.191895752	2.08e-07
RLM-2-12	SPG7	-5.128787567	2.9199999999999997e-07
RLM-2-12	ATP5O	-5.326199312	1e-07
RLM-2-12	PRR13	-4.591159987	4.41e-06
RLM-2-12	TMEM214	-5.176281106	2.26e-07
RLM-2-12	VKORC1	-5.263228389	1.42e-07
RLM-2-12	OSTM1	-5.001762059	5.68e-07
RLM-2-12	DHX40	-4.91844225	8.720000000000001e-07
RLM-2-12	MICAL1	-4.770846066	1.83e-06
RLM-2-12	PTRH2	-4.665129306	3.08e-06
RLM-2-12	SYNJ2BP	-4.758235389	1.95e-06
RLM-2-12	OLA1	-4.597697428	4.27e-06
RLM-2-12	LYRM2	-4.6877829339999995	2.76e-06
RLM-2-12	TCF25	-4.601172216	4.2e-06
RLM-2-12	NOL11	-4.81976016	1.44e-06
RLM-2-12	TULP3	-5.105350945	3.3e-07
RLM-2-12	MAP7D3	-5.136471483	2.8e-07
RLM-2-12	AKIP1	-4.77832239	1.77e-06
RLM-2-12	SAMSN1	-4.594044656	4.35e-06
BRD-K14027855	CCND3	-4.711831775	2.46e-06
BRD-K14302652	PSMD4	-4.432317783999999	9.32e-06
BRD-K14302652	RUVBL1	-5.249815072	1.5199999999999998e-07
BRD-K14302652	S100A4	-5.158882944	2.48e-07
BRD-K14302652	RAE1	-4.58045889	4.64e-06
BRD-K14302652	DLD	-4.149203998	3.34e-05
BRD-K14302652	MPZL1	-5.330737848	9.779999999999999e-08
BRD-K14302652	S100A13	-4.7778243	1.77e-06
BRD-K14302652	EMC2	-4.646954323	3.37e-06
BRD-K89951364	PEG10	-4.638649947	3.51e-06
BRD-K65003634	ACAT2	-4.077200061	4.5600000000000004e-05
BRD-K74840245	NENF	-4.067299308	4.7600000000000005e-05
BRD-K74840245	TSPAN3	-4.142493485	3.4399999999999996e-05
BRD-K74840245	SCAND1	-4.347842532	1.3699999999999998e-05
BRD-K84245233	POLR2I	-4.365549412	1.27e-05
BRD-K84245233	PUF60	-4.721128126	2.35e-06
BRD-K84245233	CANT1	-4.5426957130000005	5.55e-06
BRD-K47571551	PGRMC1	-4.71420557	2.43e-06
BRD-K54652275	SPTAN1	-4.730287723	2.24e-06
BRD-K54652275	HK1	-4.076889201	4.5600000000000004e-05
BRD-K54652275	TXNL4B	-4.0699080169999995	4.7e-05
BRD-K54652275	HACD3	-6.439261501	1.2e-10
BRD-K54652275	MRPS12	-5.07353487	3.9e-07
BRD-K12707296	HSPA8	-4.663553076	3.11e-06
BRD-K12707296	DLD	-4.19290541	2.75e-05
BRD-K91738333	BNIP3L	-4.068645326	4.73e-05
BRD-K05778745	BNIP3L	-4.962598197	6.96e-07
BRD-K05778745	GTF2A2	-4.225185242	2.3899999999999998e-05
BRD-K26304855	FOXO3	-5.383942297000001	7.29e-08
BRD-K26304855	TBP	-5.957273158	2.5600000000000003e-09
BRD-K26304855	SUZ12	-5.315676967	1.06e-07
BRD-K26304855	MAT2A	-5.251185643	1.51e-07
BRD-K26304855	PRKAG2	-4.303830703	1.6800000000000002e-05
BRD-K26304855	CDC25A	-5.48068816	4.24e-08
BRD-K26304855	CDK7	-4.898663848	9.65e-07
BRD-K26304855	HMOX1	-5.527362973	3.25e-08
BRD-K26304855	DUSP4	-4.9231643410000006	8.520000000000001e-07
BRD-K26304855	HSPA8	-4.269088186	1.9600000000000002e-05
BRD-K26304855	AXIN1	-5.361269541	8.26e-08
BRD-K26304855	CDC25B	-5.381945289	7.37e-08
BRD-K26304855	MAPKAPK2	-5.357876542	8.42e-08
BRD-K26304855	PLK1	-4.870991329	1.11e-06
BRD-K26304855	TMEM2	-4.201917077	2.65e-05
BRD-K26304855	EZH2	-4.375742889	1.21e-05
BRD-K26304855	PAK4	-4.52961681	5.91e-06
BRD-K26304855	WIPF2	-4.546819965	5.45e-06
BRD-K26304855	RRP8	-5.6191588910000005	1.92e-08
BRD-K26304855	XBP1	-4.119324374	3.8e-05
BRD-K26304855	CASC3	-4.678283625	2.89e-06
BRD-K26304855	USP22	-4.7278041580000005	2.27e-06
BRD-K26304855	CHERP	-5.7009126089999995	1.1899999999999999e-08
BRD-K26304855	MSH6	-4.399299312	1.09e-05
BRD-K26304855	TXLNA	-6.021760400000001	1.7300000000000002e-09
BRD-K26304855	DNAJB1	-5.586654406	2.3100000000000002e-08
BRD-K26304855	CCNA2	-4.343793423	1.4000000000000001e-05
BRD-K26304855	USP1	-4.309558716000001	1.64e-05
BRD-K26304855	ZNF451	-5.132612158	2.86e-07
BRD-K26304855	DDIT4	-5.137740653	2.7800000000000003e-07
BRD-K26304855	BLCAP	-6.595504332999999	4.24e-11
BRD-K26304855	ABCF3	-6.521690711000001	6.949999999999999e-11
BRD-K26304855	GLOD4	-4.650880876	3.31e-06
BRD-K26304855	NUP62	-4.8700700569999995	1.12e-06
BRD-K26304855	TATDN2	-4.435013729	9.21e-06
BRD-K26304855	KAT6A	-5.1823100360000005	2.19e-07
BRD-K26304855	MAP3K4	-5.538955357000001	3.04e-08
BRD-K26304855	PIP4K2B	-5.27153775	1.35e-07
BRD-K26304855	ARHGEF2	-4.421740192	9.79e-06
BRD-K26304855	ECD	-4.287595344	1.8100000000000003e-05
BRD-K26304855	TIPARP	-5.251342799	1.51e-07
BRD-K26304855	LBR	-4.395415508999999	1.11e-05
BRD-K26304855	RBM6	-4.217792986	2.47e-05
BRD-K26304855	CSK	-4.1716017160000005	3.02e-05
BRD-K26304855	PTPN12	-4.276906768	1.9e-05
BRD-K26304855	MYO10	-4.602364683999999	4.18e-06
BRD-K26304855	RNMT	-5.928203367	3.0599999999999998e-09
BRD-K26304855	NET1	-6.359980669	2.02e-10
BRD-K26304855	ATP1B1	-4.336452777	1.4499999999999998e-05
BRD-K26304855	TRAM2	-4.522375744	6.11e-06
BRD-K26304855	ADO	-4.717071355	2.39e-06
BRD-K26304855	GRWD1	-4.26392189	2.01e-05
BRD-K26304855	FOXJ3	-4.660388456000001	3.16e-06
BRD-K26304855	HMGCS1	-4.983655904	6.24e-07
BRD-K26304855	VGLL4	-4.256669953	2.07e-05
BRD-K26304855	YTHDF1	-4.809807075	1.51e-06
BRD-K26304855	GPATCH8	-4.427743209	9.52e-06
BRD-K26304855	NUP85	-4.137032951	3.52e-05
BRD-K26304855	TLE1	-4.218098201	2.46e-05
BRD-K26304855	GRB10	-4.373425448	1.22e-05
BRD-K26304855	TIMM9	-4.673931426	2.95e-06
BRD-K26304855	FASTKD5	-5.054024428	4.3299999999999997e-07
BRD-K26304855	ARID4B	-4.7767606460000005	1.78e-06
BRD-K26304855	ST3GAL5	-4.082841163	4.45e-05
BRD-K26304855	RPP38	-5.16679116	2.3800000000000001e-07
BRD-K26304855	BAG3	-5.10342621	3.34e-07
BRD-K26304855	DDX10	-4.730540513999999	2.24e-06
BRD-K26304855	SNX11	-4.682967983999999	2.83e-06
BRD-K26304855	CEBPZ	-5.864572347999999	4.5e-09
BRD-K26304855	LASP1	-5.8006951760000005	6.6e-09
BRD-K26304855	ZNF672	-5.042143106	4.6e-07
BRD-K26304855	TNFAIP1	-5.070183605	3.97e-07
BRD-K26304855	AREL1	-5.315570887	1.06e-07
BRD-K26304855	BAZ1B	-4.7863683660000005	1.7e-06
BRD-K26304855	SCAF8	-6.025763082	1.6800000000000002e-09
BRD-K26304855	SETD1B	-5.14402897	2.69e-07
BRD-K26304855	ZC3H4	-5.458832885	4.79e-08
BRD-K26304855	ZBTB24	-5.565993956	2.61e-08
BRD-K26304855	KAT7	-5.316801305	1.06e-07
BRD-K26304855	MARCKSL1	-5.030512412	4.89e-07
BRD-K26304855	DDX24	-5.114367037	3.15e-07
BRD-K26304855	IST1	-5.5396780560000005	3.03e-08
BRD-K26304855	RNF114	-5.268922656	1.37e-07
BRD-K26304855	NOP56	-6.259434661	3.86e-10
BRD-K26304855	PFKP	-5.260194296	1.44e-07
BRD-K26304855	PUM1	-5.158027204	2.5e-07
BRD-K26304855	AMD1	-4.88186029	1.05e-06
BRD-K26304855	SNRNP70	-4.692879834	2.69e-06
BRD-K26304855	UBAP2L	-4.745627353	2.08e-06
BRD-K26304855	DHX15	-4.572741328999999	4.81e-06
BRD-K26304855	SNW1	-5.179657207	2.22e-07
BRD-K26304855	PPP1R12A	-4.905323149	9.33e-07
BRD-K26304855	SRRT	-4.741250248	2.12e-06
BRD-K26304855	WDR82	-5.3349818980000006	9.560000000000001e-08
BRD-K26304855	NUP214	-4.909780924	9.12e-07
BRD-K26304855	VEZF1	-5.218950796000001	1.8e-07
BRD-K26304855	RSRC2	-5.997851488999999	2e-09
BRD-K26304855	PPP2R2A	-4.931963981	8.140000000000001e-07
BRD-K26304855	KIAA0430	-4.572486955	4.82e-06
BRD-K26304855	AFG3L2	-4.781455049	1.74e-06
BRD-K26304855	CHTOP	-5.241129793	1.6e-07
BRD-K26304855	POLR2A	-5.430755598999999	5.6100000000000006e-08
BRD-K26304855	PLAGL2	-5.64739641	1.63e-08
BRD-K26304855	BAG5	-4.824719732	1.4e-06
BRD-K26304855	CHSY1	-5.057152107	4.2600000000000003e-07
BRD-K26304855	KIF2A	-4.615023557	3.93e-06
BRD-K26304855	TMEM11	-5.888342139	3.9e-09
BRD-K26304855	MED1	-5.399419577000001	6.690000000000001e-08
BRD-K26304855	UPF2	-5.0157334	5.28e-07
BRD-K26304855	FAM193A	-4.640731071	3.47e-06
BRD-K26304855	COIL	-5.318941618	1.04e-07
BRD-K26304855	POLR2D	-5.212808212	1.8600000000000002e-07
BRD-K26304855	ZNF263	-5.029841011	4.91e-07
BRD-K26304855	PPRC1	-4.8955702610000005	9.8e-07
BRD-K26304855	TRIM32	-5.274913302	1.33e-07
BRD-K26304855	E2F6	-4.752543235	2.01e-06
BRD-K26304855	TSC22D2	-5.562263955	2.66e-08
BRD-K26304855	RBM14	-5.256881357	1.47e-07
BRD-K26304855	DBF4	-5.659582959	1.52e-08
BRD-K26304855	CHD1	-5.2765138480000005	1.32e-07
BRD-K26304855	KBTBD11	-5.285858912	1.25e-07
BRD-K26304855	ZNF202	-4.599428098	4.24e-06
BRD-K26304855	BRPF1	-6.574652997	4.8799999999999996e-11
BRD-K26304855	MIEF1	-5.046735579	4.49e-07
BRD-K26304855	EXO1	-5.052848469	4.35e-07
BRD-K26304855	NRF1	-4.86065737	1.17e-06
BRD-K26304855	ZBTB11	-5.90419235	3.5399999999999998e-09
BRD-K26304855	ARID4A	-5.0933152580000005	3.5200000000000003e-07
BRD-K26304855	URB2	-5.121965161	3.02e-07
BRD-K26304855	GEMIN4	-5.583071076	2.36e-08
BRD-K26304855	ALKBH1	-5.202099496000001	1.97e-07
BRD-K26304855	KIN	-4.910293687	9.090000000000001e-07
BRD-K26304855	ATP6V0A2	-4.636121887	3.55e-06
BRD-K26304855	GTF2E1	-5.049768417	4.42e-07
BRD-K26304855	METTL13	-4.623836892	3.77e-06
BRD-K26304855	MAPK6	-4.613840484	3.95e-06
BRD-K26304855	RPL36AL	-5.235741397	1.6399999999999999e-07
BRD-K26304855	PPP1R8	-4.580354718	4.64e-06
BRD-K26304855	SF1	-4.573987808	4.79e-06
BRD-K26304855	SRSF3	-4.65012498	3.32e-06
BRD-K26304855	TCP1	-4.571812133	4.84e-06
BRD-K26304855	NXF1	-4.659273898	3.17e-06
BRD-K26304855	NCOA6	-5.0730792330000005	3.91e-07
BRD-K26304855	KDM2A	-5.303756097	1.13e-07
BRD-K26304855	DYRK1A	-5.4386612670000005	5.37e-08
BRD-K26304855	RAB5A	-4.841714627	1.29e-06
BRD-K26304855	AATF	-5.217473501000001	1.8100000000000002e-07
BRD-K26304855	XPC	-4.697672784	2.63e-06
BRD-K26304855	SNRK	-4.76445891	1.89e-06
BRD-K26304855	UTP3	-5.889422733	3.88e-09
BRD-K26304855	HSF2	-4.817194024	1.46e-06
BRD-K26304855	NKX3-1	-4.941695809	7.74e-07
BRD-K26304855	SERPINB3	-4.922341874	8.55e-07
BRD-K26304855	IKBKG	-4.580537765	4.64e-06
BRD-K26304855	MED6	-5.088892601	3.6e-07
BRD-K26304855	DDX52	-4.6314008310000006	3.63e-06
BRD-K26304855	SMOX	-4.8974422660000005	9.709999999999999e-07
BRD-K26304855	SERPINB4	-5.346021295	8.99e-08
BRD-K26304855	EIF4B	-4.830215805	1.36e-06
BRD-K26304855	XPO6	-4.813196721000001	1.49e-06
BRD-K26304855	KMT2A	-4.660659079	3.15e-06
BRD-K26304855	NIPA2	-4.915754111	8.84e-07
BRD-K26304855	TAB2	-5.416850939	6.070000000000001e-08
BRD-K26304855	MRFAP1L1	-4.786473333	1.7e-06
BRD-K26304855	GIGYF2	-5.0884487080000005	3.61e-07
BRD-K26304855	CHMP7	-4.6780454030000005	2.9e-06
BRD-K26304855	FAM102A	-5.981004696	2.22e-09
BRD-K26304855	PDCD11	-4.60945077	4.04e-06
BRD-K26304855	SECISBP2L	-5.558461207000001	2.7200000000000002e-08
BRD-K26304855	YTHDC1	-5.270517886	1.36e-07
BRD-K26304855	SETD2	-5.706295995	1.1499999999999999e-08
BRD-K26304855	CEBPB	-5.090945507	3.56e-07
BRD-K26304855	RNF4	-6.058125375	1.3800000000000002e-09
BRD-K26304855	LARP4	-5.149608842	2.61e-07
BRD-K26304855	RCHY1	-4.903807316	9.4e-07
BRD-K26304855	MON2	-4.957298446	7.15e-07
BRD-K26304855	RBBP6	-5.474020135	4.4000000000000004e-08
BRD-K26304855	YLPM1	-5.176127298	2.2699999999999998e-07
BRD-K26304855	MPHOSPH10	-5.6740555960000005	1.3899999999999999e-08
BRD-K26304855	CSTF2T	-4.888496116000001	1.02e-06
BRD-K26304855	GRAMD1B	-5.255812314	1.47e-07
BRD-K26304855	SLC30A1	-5.282921503	1.2699999999999999e-07
BRD-K26304855	MGA	-4.900190599999999	9.570000000000001e-07
BRD-K26304855	RANBP6	-5.023802267	5.070000000000001e-07
BRD-K26304855	THUMPD1	-4.758036221	1.95e-06
BRD-K26304855	NFRKB	-5.250949539	1.51e-07
BRD-K26304855	TAF4	-5.484050132	4.16e-08
BRD-K26304855	DNAJC2	-4.8131492069999995	1.49e-06
BRD-K26304855	ZNF473	-4.903887313	9.4e-07
BRD-K26304855	FTL	-5.408468574	6.36e-08
BRD-K26304855	ATAD2B	-5.2918471369999995	1.2099999999999998e-07
BRD-K26304855	AKAP10	-5.565431162	2.62e-08
BRD-K26304855	EDRF1	-5.0623461910000005	4.14e-07
BRD-K26304855	ARAP2	-4.739616084	2.14e-06
BRD-K26304855	NGDN	-4.611601779	4e-06
BRD-K26304855	DUSP7	-4.577949834	4.7e-06
BRD-K26304855	RAP2B	-5.166572727	2.3800000000000001e-07
BRD-K26304855	SRSF7	-4.707949106	2.5e-06
BRD-K26304855	ARHGEF10	-4.8852773130000005	1.03e-06
BRD-K26304855	WDR6	-6.196027476	5.79e-10
BRD-K26304855	UBE2Z	-5.080608723	3.7600000000000003e-07
BRD-K26304855	HN1	-4.746674346	2.07e-06
BRD-K26304855	NPLOC4	-4.618502578999999	3.87e-06
BRD-K26304855	YTHDF2	-4.835129422	1.33e-06
BRD-K26304855	ARMCX3	-4.7420171269999996	2.12e-06
BRD-K26304855	FAM53C	-5.303406559	1.14e-07
BRD-K26304855	PRPF38B	-4.632749566	3.61e-06
BRD-K26304855	GGNBP2	-5.878003306	4.15e-09
BRD-K26304855	AAR2	-5.504030431	3.71e-08
BRD-K26304855	SLC25A37	-4.793125037	1.64e-06
BRD-K26304855	MKNK2	-5.087841209	3.6200000000000004e-07
BRD-K26304855	NOL8	-5.327998117	9.93e-08
BRD-K26304855	MID1IP1	-5.341668672	9.210000000000001e-08
BRD-K26304855	RSAD1	-4.584012575	4.56e-06
BRD-K26304855	FAM208B	-4.933832667	8.06e-07
BRD-K26304855	TRIAP1	-5.192911116	2.07e-07
BRD-K26304855	PROSER1	-4.603810159	4.15e-06
BRD-K26304855	TTC4	-4.709958451	2.48e-06
BRD-K26304855	FAM222B	-6.039865692999999	1.54e-09
BRD-K26304855	ZCCHC8	-5.612633666	1.99e-08
BRD-K26304855	SMG8	-5.651280172000001	1.59e-08
BRD-K26304855	JADE1	-4.664076395	3.1e-06
BRD-K26304855	RIOK2	-4.755891568	1.98e-06
BRD-K26304855	C10orf2	-4.650972878999999	3.3e-06
BRD-K26304855	TBC1D13	-5.212422284	1.8600000000000002e-07
BRD-K26304855	TFB2M	-5.639134585	1.71e-08
BRD-K26304855	ZDHHC7	-4.955537327	7.21e-07
BRD-K26304855	CRTC3	-4.630295355	3.65e-06
BRD-K26304855	CWC25	-6.015024014	1.8e-09
BRD-K26304855	REXO4	-4.835475382	1.33e-06
BRD-K26304855	REEP4	-4.665172738	3.08e-06
BRD-K26304855	GCC1	-6.3029801789999995	2.92e-10
BRD-K26304855	ZNHIT6	-4.761585085	1.92e-06
BRD-K26304855	MTPAP	-4.727535466	2.27e-06
BRD-K26304855	EFL1	-4.670156667	3.01e-06
BRD-K26304855	RNF34	-4.699468598	2.61e-06
BRD-K26304855	RHOF	-4.7728962919999995	1.82e-06
BRD-K26304855	DDX54	-5.491652986	3.98e-08
BRD-K26304855	C2orf44	-5.532702400000001	3.15e-08
BRD-K26304855	TEFM	-5.6350331229999995	1.75e-08
BRD-K26304855	HSPA14	-4.913156282	8.96e-07
BRD-K26304855	CDK12	-6.239800455	4.38e-10
BRD-K26304855	RBM15	-6.1541798420000005	7.55e-10
BRD-K26304855	TRIM68	-4.868256992	1.13e-06
BRD-K26304855	FA2H	-5.129085041000001	2.91e-07
BRD-K26304855	TDP1	-4.746910637	2.07e-06
BRD-K26304855	RNF220	-5.07420336	3.89e-07
BRD-K26304855	LRIF1	-4.9147004910000005	8.890000000000001e-07
BRD-K26304855	FAM46C	-4.722737393	2.33e-06
BRD-K26304855	ARPC5L	-5.6971200710000005	1.22e-08
BRD-K26304855	TSPYL1	-4.919373271	8.68e-07
BRD-K26304855	LSG1	-5.367703297	7.969999999999999e-08
BRD-K26304855	IMP3	-5.146293018	2.66e-07
BRD-K26304855	WASF2	-4.737721864	2.16e-06
BRD-K26304855	YTHDF3	-4.634071731000001	3.59e-06
BRD-K26304855	SETD5	-5.641108634	1.69e-08
BRD-K26304855	KANSL2	-6.90206095	5.13e-12
BRD-K26304855	SYNRG	-5.553658239	2.8e-08
BRD-K26304855	TOB2	-5.184467906	2.17e-07
BRD-K26304855	SLC25A44	-4.604120003	4.14e-06
BRD-K26304855	SAFB2	-4.7425391580000005	2.11e-06
BRD-K26304855	PRDM4	-4.898049427	9.679999999999999e-07
BRD-K26304855	CEP76	-5.2116531660000005	1.87e-07
tubacin	HLA-DMA	-4.86570964	1.14e-06
BRD-K20429911	IPO13	-4.626310451	3.72e-06
BRD-K23165181	CDC20	-4.3031599389999995	1.6800000000000002e-05
BRD-K27181648	FKBP4	-5.049333938999999	4.43e-07
